group_type,group,task,scope,n_samples,gt_prior_rmse,gt_model_rmse,delta_model_minus_prior_rmse,prior_model_rmse,gt_prior_ssim,gt_model_ssim,delta_model_minus_prior_ssim,prior_model_ssim,gt_prior_map_corr,gt_model_map_corr,delta_model_minus_prior_map_corr,prior_model_map_corr,gt_prior_grad_corr,gt_model_grad_corr,delta_model_minus_prior_grad_corr,prior_model_grad_corr
global,all,path_loss,overall,10,1.7164258307763733,1.334615478145306,-0.38181035263106744,1.0522432113800568,0.9092839566423232,0.9409938213331058,0.03170986469078263,0.9622504321684292,0.9567596692674788,0.9738815359882637,0.017121866720784862,0.9821197451006781,0.8417684898073332,0.8860520378252643,0.04428354801793111,0.9422270662251726
global,all,path_loss,los,10,1.6843172231965324,1.2919616986207152,-0.39235552457581724,1.0437703089809915,0.9130349624220601,0.9457874939856776,0.03275253156361757,0.9613316040712253,0.9483433330980229,0.9691314302585836,0.020788097160560737,0.9782058382818475,0.8457635708742371,0.8921808151067493,0.046417244232512145,0.938918424882149
global,all,path_loss,nlos,10,2.215797853129669,1.948311838905805,-0.267486014223864,1.194397445284997,0.841828881624288,0.8547882627765379,0.012959381152249816,0.97877389863718,0.786242481612942,0.8071800508785753,0.020937569265633282,0.967605757951081,0.7165334960309733,0.7312022824970661,0.01466878646609282,0.9772964288652123
global,all,delay_spread,overall,10,5.916605058972761,5.486563570118447,-0.4300414888543136,2.040998643038506,0.8657610297027625,0.8622310194653622,-0.003530010237400294,0.9247579809853275,0.4159618064216141,0.5594144699412893,0.14345266351967517,0.7359810695263364,0.20470021446764983,0.3559234562626605,0.15122324179501065,0.6387217334756857
global,all,delay_spread,los,10,5.1250840157635045,4.540636794012033,-0.5844472217514713,2.207656842360016,0.8740056641684851,0.882910802470221,0.008905138301735893,0.9394810003201493,0.30069393745329337,0.5235947448388095,0.22290080738551615,0.562047896757849,0.1949274587365138,0.35502846176270375,0.16010100302618996,0.5968933917713782
global,all,delay_spread,nlos,10,8.526271777856062,8.426596564748717,-0.09967521310734462,1.0545271140270582,0.8302050883386233,0.7730470592787875,-0.0571580290598358,0.8612632542817442,0.03808318287045915,0.11050617898153035,0.0724229961110712,0.31627730919258057,0.22774376798622198,0.33680038226482945,0.10905661427860747,0.7499159763168506
global,all,angular_spread,overall,10,12.17011633733829,9.789118542521129,-2.380997794817162,4.719399114174578,0.716797614247799,0.7428613229703225,0.026063708722523504,0.8012472994144089,0.3500681137037637,0.6451136176868749,0.29504550398311125,0.6182949230909544,0.24208823296803358,0.4128464172470551,0.17075818427902154,0.5367154611099614
global,all,angular_spread,los,10,12.560003039215564,9.699970575171491,-2.860032464044073,5.214521595999479,0.7199087498423653,0.7570584812935603,0.037149731451195045,0.808263391055439,0.3258944858703,0.653334456974723,0.327439971104423,0.5698896460222854,0.2736578738131452,0.41118386363288595,0.13752598981974073,0.4972497448709153
global,all,angular_spread,nlos,10,10.32132395113485,10.164626669075155,-0.1566972820596959,1.030094483422029,0.7033804815372847,0.6816344328059208,-0.021746048731363876,0.7709895913218255,0.05983953493941681,0.16217027657386268,0.10233074163444587,0.3077211845151602,0.1942267391854409,0.40483704405337323,0.21061030486793234,0.6933974292812523
topology_class_6,mixed_compact_lowrise,path_loss,overall,5,2.1260393492638117,1.8359003987327145,-0.2901389505310972,1.1314056402734562,0.8587128957420139,0.8842259278853133,0.025513032143299363,0.954171400513237,0.9371268840876003,0.9557276811595365,0.018600797071936293,0.9786673324274826,0.738076795724989,0.7996540480685765,0.061577252343587574,0.9180115315617424
topology_class_6,mixed_compact_lowrise,path_loss,los,5,2.1076045219667545,1.815184178663401,-0.2924203433033534,1.117965256054894,0.8615345329595617,0.8889149773836659,0.027380444424104144,0.95064128880946,0.9126350892904576,0.94101530130791,0.028380212017452444,0.9679787035811194,0.7322660947725778,0.8034725084182539,0.07120641364567615,0.9044584301854138
topology_class_6,mixed_compact_lowrise,path_loss,nlos,5,2.2551647711714633,1.9795927260151942,-0.2755720451562691,1.2244264812174857,0.8382601131956489,0.8502371113420235,0.011976998146374651,0.9797595968244834,0.7818995610798,0.8030680345851622,0.021168473505362218,0.966480207548004,0.7076961504689498,0.7215018963609887,0.013805745892038868,0.9779721958931796
topology_class_6,mixed_compact_lowrise,delay_spread,overall,5,8.248647224185095,7.653849419307837,-0.5947978048772589,2.773346428894077,0.7722826074955436,0.756105731858539,-0.01617687563700454,0.8649735538800142,0.37640563674469996,0.5411780037218848,0.1647723669771849,0.7283406546403286,0.19548872607502996,0.3395737664863889,0.14408504041135892,0.6739184370445063
topology_class_6,mixed_compact_lowrise,delay_spread,los,5,7.657881282007992,6.7319200007229485,-0.9259612812850433,3.3160132845162167,0.7505937533111161,0.7622818307086662,0.011688077397550067,0.8776932902422149,0.18706142004957907,0.5239272243206229,0.33686580427104384,0.3746209578143158,0.17472392339770837,0.34853945210322584,0.17381552870551747,0.6108770152122395
topology_class_6,mixed_compact_lowrise,delay_spread,nlos,5,9.282393951062835,9.173828389339807,-0.10856556172302767,1.1482890328596491,0.8141106564798596,0.7441948137879764,-0.06991584269188322,0.8404429008956935,0.03926686648781706,0.11778444762601817,0.0785175811382011,0.35735978129506457,0.20632060397740304,0.3053823168928583,0.09906171291545524,0.756046571205643
topology_class_6,mixed_compact_lowrise,angular_spread,overall,5,16.03154154753528,12.869153904912022,-3.1623876426232584,6.078778973924292,0.544841336119448,0.5849298509397236,0.040088514820275645,0.6830762787965573,0.3692955070229784,0.6598227006592576,0.2905271936362792,0.6557068597714978,0.21154231027182008,0.42636887306650634,0.21482656279468626,0.6086694927387033
topology_class_6,mixed_compact_lowrise,angular_spread,los,5,18.05926523433044,13.75910321998141,-4.300162014349029,7.447174056906985,0.467300612988136,0.544079096936916,0.07677848394878001,0.6454810498763611,0.31362825655295073,0.6840862533160404,0.3704579967630897,0.5472151403855823,0.21533869021555588,0.4360265992550485,0.22068790903949262,0.5455955886549644
topology_class_6,mixed_compact_lowrise,angular_spread,nlos,5,11.121867082830738,10.95046672509438,-0.1714003577363581,1.1208513929282902,0.6943825307734542,0.6637125899883607,-0.030669940785093552,0.7555805735591467,0.0640959860752114,0.16679715993219105,0.10270117385697965,0.3398328521603493,0.19824368216671526,0.3934629009832015,0.19521921881648627,0.7142514750034336
topology_class_6,open_sparse_lowrise,path_loss,overall,5,1.366769526692293,0.832218347265848,-0.534551179426445,0.9943910133164038,0.9439225067325453,0.9798768798590883,0.03595437312654304,0.9677841492328295,0.9702071242402631,0.98631599921674,0.01610887497647684,0.9844844714268156,0.9127689808264173,0.9452110644963421,0.03244208366992474,0.9588080939208706
