[prior-calibration] try=TFGFortyEighthTry48 device=directml dataset=CKM_Dataset_270326.h5 log_every=50
[prior-calibration] train 50/11326 valid_pixels=9903024 zero_ratio=0.253
[prior-calibration] train 100/11326 valid_pixels=19685759 zero_ratio=0.276
[prior-calibration] train 150/11326 valid_pixels=29516744 zero_ratio=0.273
[prior-calibration] train 200/11326 valid_pixels=39692334 zero_ratio=0.262
[prior-calibration] train 250/11326 valid_pixels=50187178 zero_ratio=0.258
[prior-calibration] train 300/11326 valid_pixels=59644654 zero_ratio=0.266
[prior-calibration] train 350/11326 valid_pixels=69677265 zero_ratio=0.262
[prior-calibration] train 400/11326 valid_pixels=79237163 zero_ratio=0.264
[prior-calibration] train 450/11326 valid_pixels=89521642 zero_ratio=0.261
[prior-calibration] train 500/11326 valid_pixels=99137041 zero_ratio=0.261
[prior-calibration] train 550/11326 valid_pixels=109192273 zero_ratio=0.258
[prior-calibration] train 600/11326 valid_pixels=119531664 zero_ratio=0.255
[prior-calibration] train 650/11326 valid_pixels=129420604 zero_ratio=0.256
[prior-calibration] train 700/11326 valid_pixels=139317923 zero_ratio=0.257
[prior-calibration] train 750/11326 valid_pixels=149701461 zero_ratio=0.254
[prior-calibration] train 800/11326 valid_pixels=159578661 zero_ratio=0.255
[prior-calibration] train 850/11326 valid_pixels=169559104 zero_ratio=0.256
[prior-calibration] train 900/11326 valid_pixels=179884941 zero_ratio=0.258
[prior-calibration] train 950/11326 valid_pixels=189928682 zero_ratio=0.260
[prior-calibration] train 1000/11326 valid_pixels=199426106 zero_ratio=0.261
[prior-calibration] train 1050/11326 valid_pixels=209164236 zero_ratio=0.262
[prior-calibration] train 1100/11326 valid_pixels=218984553 zero_ratio=0.262
[prior-calibration] train 1150/11326 valid_pixels=229528864 zero_ratio=0.259
[prior-calibration] train 1200/11326 valid_pixels=239398197 zero_ratio=0.261
[prior-calibration] train 1250/11326 valid_pixels=249392240 zero_ratio=0.261
[prior-calibration] train 1300/11326 valid_pixels=259281029 zero_ratio=0.261
[prior-calibration] train 1350/11326 valid_pixels=268844328 zero_ratio=0.261
[prior-calibration] train 1400/11326 valid_pixels=278783237 zero_ratio=0.262
[prior-calibration] train 1450/11326 valid_pixels=288957261 zero_ratio=0.261
[prior-calibration] train 1500/11326 valid_pixels=299105901 zero_ratio=0.260
[prior-calibration] train 1550/11326 valid_pixels=309006967 zero_ratio=0.260
[prior-calibration] train 1600/11326 valid_pixels=318879895 zero_ratio=0.262
[prior-calibration] train 1650/11326 valid_pixels=328804205 zero_ratio=0.263
[prior-calibration] train 1700/11326 valid_pixels=338946677 zero_ratio=0.263
[prior-calibration] train 1750/11326 valid_pixels=349313523 zero_ratio=0.261
[prior-calibration] train 1800/11326 valid_pixels=359399891 zero_ratio=0.261
[prior-calibration] train 1850/11326 valid_pixels=369527235 zero_ratio=0.261
[prior-calibration] train 1900/11326 valid_pixels=379470848 zero_ratio=0.261
[prior-calibration] train 1950/11326 valid_pixels=389374586 zero_ratio=0.262
[prior-calibration] train 2000/11326 valid_pixels=399135415 zero_ratio=0.262
[prior-calibration] train 2050/11326 valid_pixels=409065943 zero_ratio=0.261
[prior-calibration] train 2100/11326 valid_pixels=419221151 zero_ratio=0.261
[prior-calibration] train 2150/11326 valid_pixels=429537973 zero_ratio=0.260
[prior-calibration] train 2200/11326 valid_pixels=438934931 zero_ratio=0.262
[prior-calibration] train 2250/11326 valid_pixels=449748243 zero_ratio=0.261
[prior-calibration] train 2300/11326 valid_pixels=459619993 zero_ratio=0.261
[prior-calibration] train 2350/11326 valid_pixels=469748315 zero_ratio=0.261
[prior-calibration] train 2400/11326 valid_pixels=479980148 zero_ratio=0.261
[prior-calibration] train 2450/11326 valid_pixels=489954883 zero_ratio=0.261
[prior-calibration] train 2500/11326 valid_pixels=500248946 zero_ratio=0.261
[prior-calibration] train 2550/11326 valid_pixels=510889219 zero_ratio=0.261
[prior-calibration] train 2600/11326 valid_pixels=520801368 zero_ratio=0.261
[prior-calibration] train 2650/11326 valid_pixels=530985591 zero_ratio=0.262
[prior-calibration] train 2700/11326 valid_pixels=540921371 zero_ratio=0.263
[prior-calibration] train 2750/11326 valid_pixels=550524968 zero_ratio=0.263
[prior-calibration] train 2800/11326 valid_pixels=560789419 zero_ratio=0.263
[prior-calibration] train 2850/11326 valid_pixels=570500624 zero_ratio=0.263
[prior-calibration] train 2900/11326 valid_pixels=580914619 zero_ratio=0.263
[prior-calibration] train 2950/11326 valid_pixels=591224827 zero_ratio=0.262
[prior-calibration] train 3000/11326 valid_pixels=601385802 zero_ratio=0.261
[prior-calibration] train 3050/11326 valid_pixels=611248247 zero_ratio=0.261
[prior-calibration] train 3100/11326 valid_pixels=620799895 zero_ratio=0.262
[prior-calibration] train 3150/11326 valid_pixels=631225116 zero_ratio=0.262
[prior-calibration] train 3200/11326 valid_pixels=641344257 zero_ratio=0.262
[prior-calibration] train 3250/11326 valid_pixels=651431009 zero_ratio=0.262
[prior-calibration] train 3300/11326 valid_pixels=661608689 zero_ratio=0.261
[prior-calibration] train 3350/11326 valid_pixels=671309920 zero_ratio=0.261
[prior-calibration] train 3400/11326 valid_pixels=680958707 zero_ratio=0.261
[prior-calibration] train 3450/11326 valid_pixels=691592294 zero_ratio=0.260
[prior-calibration] train 3500/11326 valid_pixels=701693409 zero_ratio=0.260
[prior-calibration] train 3550/11326 valid_pixels=711780726 zero_ratio=0.260
[prior-calibration] train 3600/11326 valid_pixels=721867856 zero_ratio=0.261
[prior-calibration] train 3650/11326 valid_pixels=731977983 zero_ratio=0.261
[prior-calibration] train 3700/11326 valid_pixels=741654428 zero_ratio=0.261
[prior-calibration] train 3750/11326 valid_pixels=751857015 zero_ratio=0.260
[prior-calibration] train 3800/11326 valid_pixels=761953176 zero_ratio=0.260
[prior-calibration] train 3850/11326 valid_pixels=772004321 zero_ratio=0.261
[prior-calibration] train 3900/11326 valid_pixels=781874311 zero_ratio=0.261
[prior-calibration] train 3950/11326 valid_pixels=791755735 zero_ratio=0.261
[prior-calibration] train 4000/11326 valid_pixels=801603458 zero_ratio=0.261
[prior-calibration] train 4050/11326 valid_pixels=811660429 zero_ratio=0.261
[prior-calibration] train 4100/11326 valid_pixels=821845686 zero_ratio=0.261
[prior-calibration] train 4150/11326 valid_pixels=831313161 zero_ratio=0.261
[prior-calibration] train 4200/11326 valid_pixels=841569390 zero_ratio=0.261
[prior-calibration] train 4250/11326 valid_pixels=851565417 zero_ratio=0.261
[prior-calibration] train 4300/11326 valid_pixels=861025398 zero_ratio=0.262
