[prior-calibration] try=TFGFortyEighthTry48 device=directml dataset=CKM_Dataset_270326.h5 log_every=5
[prior-calibration] train 5/11326 valid_pixels=1116319 zero_ratio=0.263
[prior-calibration] train 10/11326 valid_pixels=2162702 zero_ratio=0.213
[prior-calibration] train 15/11326 valid_pixels=3176331 zero_ratio=0.204
[prior-calibration] train 20/11326 valid_pixels=4131772 zero_ratio=0.215
[prior-calibration] train 25/11326 valid_pixels=5005788 zero_ratio=0.258
[prior-calibration] train 30/11326 valid_pixels=5956508 zero_ratio=0.255
[prior-calibration] train 35/11326 valid_pixels=6840288 zero_ratio=0.261
[prior-calibration] train 40/11326 valid_pixels=7929076 zero_ratio=0.242
[prior-calibration] train 45/11326 valid_pixels=8870206 zero_ratio=0.253
[prior-calibration] train 50/11326 valid_pixels=9903024 zero_ratio=0.253
[prior-calibration] train 55/11326 valid_pixels=10762091 zero_ratio=0.266
[prior-calibration] train 60/11326 valid_pixels=11705443 zero_ratio=0.273
[prior-calibration] train 65/11326 valid_pixels=12592754 zero_ratio=0.282
[prior-calibration] train 70/11326 valid_pixels=13618198 zero_ratio=0.283
[prior-calibration] train 75/11326 valid_pixels=14574475 zero_ratio=0.290
[prior-calibration] train 80/11326 valid_pixels=15639437 zero_ratio=0.282
[prior-calibration] train 85/11326 valid_pixels=16770091 zero_ratio=0.282
[prior-calibration] train 90/11326 valid_pixels=17792724 zero_ratio=0.276
[prior-calibration] train 95/11326 valid_pixels=18732664 zero_ratio=0.275
[prior-calibration] train 100/11326 valid_pixels=19685759 zero_ratio=0.276
[prior-calibration] train 105/11326 valid_pixels=20690295 zero_ratio=0.277
[prior-calibration] train 110/11326 valid_pixels=21659183 zero_ratio=0.275
[prior-calibration] train 115/11326 valid_pixels=22562457 zero_ratio=0.274
[prior-calibration] train 120/11326 valid_pixels=23643526 zero_ratio=0.274
[prior-calibration] train 125/11326 valid_pixels=24667985 zero_ratio=0.273
[prior-calibration] train 130/11326 valid_pixels=25616331 zero_ratio=0.272
[prior-calibration] train 135/11326 valid_pixels=26434285 zero_ratio=0.274
[prior-calibration] train 140/11326 valid_pixels=27452603 zero_ratio=0.272
[prior-calibration] train 145/11326 valid_pixels=28448023 zero_ratio=0.274
[prior-calibration] train 150/11326 valid_pixels=29516744 zero_ratio=0.273
[prior-calibration] train 155/11326 valid_pixels=30643004 zero_ratio=0.267
[prior-calibration] train 160/11326 valid_pixels=31730824 zero_ratio=0.263
[prior-calibration] train 165/11326 valid_pixels=32804146 zero_ratio=0.259
[prior-calibration] train 170/11326 valid_pixels=33721491 zero_ratio=0.261
[prior-calibration] train 175/11326 valid_pixels=34718855 zero_ratio=0.259
[prior-calibration] train 180/11326 valid_pixels=35640404 zero_ratio=0.264
[prior-calibration] train 185/11326 valid_pixels=36595520 zero_ratio=0.267
[prior-calibration] train 190/11326 valid_pixels=37547718 zero_ratio=0.266
[prior-calibration] train 195/11326 valid_pixels=38609935 zero_ratio=0.265
[prior-calibration] train 200/11326 valid_pixels=39692334 zero_ratio=0.262
[prior-calibration] train 205/11326 valid_pixels=40642251 zero_ratio=0.262
[prior-calibration] train 210/11326 valid_pixels=41680715 zero_ratio=0.266
[prior-calibration] train 215/11326 valid_pixels=42650368 zero_ratio=0.263
[prior-calibration] train 220/11326 valid_pixels=43698519 zero_ratio=0.266
[prior-calibration] train 225/11326 valid_pixels=44831689 zero_ratio=0.264
[prior-calibration] train 230/11326 valid_pixels=45857852 zero_ratio=0.264
[prior-calibration] train 235/11326 valid_pixels=46858094 zero_ratio=0.262
[prior-calibration] train 240/11326 valid_pixels=48048808 zero_ratio=0.258
[prior-calibration] train 245/11326 valid_pixels=49262487 zero_ratio=0.254
[prior-calibration] train 250/11326 valid_pixels=50187178 zero_ratio=0.258
