[calibration] device=directml train_samples=566/11326 val_samples=243/2427 pixel_sample_prob=0.02
[calibration:train] 1/566 samples processed elapsed=0.0 min
[calibration:train] 5/566 samples processed elapsed=0.1 min
[calibration:train] 10/566 samples processed elapsed=0.1 min
[calibration:train] 15/566 samples processed elapsed=0.2 min
[calibration:train] 20/566 samples processed elapsed=0.2 min
[calibration:train] 25/566 samples processed elapsed=0.3 min
[calibration:train] 30/566 samples processed elapsed=0.3 min
[calibration:train] 35/566 samples processed elapsed=0.4 min
[calibration:train] 40/566 samples processed elapsed=0.4 min
[calibration:train] 45/566 samples processed elapsed=0.5 min
[calibration:train] 50/566 samples processed elapsed=0.5 min
[calibration:train] 55/566 samples processed elapsed=0.6 min
[calibration:train] 60/566 samples processed elapsed=0.6 min
[calibration:train] 65/566 samples processed elapsed=0.7 min
[calibration:train] 70/566 samples processed elapsed=0.7 min
[calibration:train] 75/566 samples processed elapsed=0.8 min
[calibration:train] 80/566 samples processed elapsed=0.8 min
[calibration:train] 85/566 samples processed elapsed=0.9 min
[calibration:train] 90/566 samples processed elapsed=0.9 min
[calibration:train] 95/566 samples processed elapsed=1.0 min
[calibration:train] 100/566 samples processed elapsed=1.0 min
[calibration:train] 105/566 samples processed elapsed=1.1 min
[calibration:train] 110/566 samples processed elapsed=1.1 min
[calibration:train] 115/566 samples processed elapsed=1.2 min
[calibration:train] 120/566 samples processed elapsed=1.2 min
[calibration:train] 125/566 samples processed elapsed=1.3 min
[calibration:train] 130/566 samples processed elapsed=1.3 min
[calibration:train] 135/566 samples processed elapsed=1.4 min
[calibration:train] 140/566 samples processed elapsed=1.4 min
[calibration:train] 145/566 samples processed elapsed=1.5 min
[calibration:train] 150/566 samples processed elapsed=1.5 min
[calibration:train] 155/566 samples processed elapsed=1.6 min
[calibration:train] 160/566 samples processed elapsed=1.6 min
[calibration:train] 165/566 samples processed elapsed=1.7 min
[calibration:train] 170/566 samples processed elapsed=1.7 min
[calibration:train] 175/566 samples processed elapsed=1.8 min
[calibration:train] 180/566 samples processed elapsed=1.8 min
[calibration:train] 185/566 samples processed elapsed=1.9 min
[calibration:train] 190/566 samples processed elapsed=1.9 min
[calibration:train] 195/566 samples processed elapsed=2.0 min
[calibration:train] 200/566 samples processed elapsed=2.0 min
[calibration:train] 205/566 samples processed elapsed=2.1 min
[calibration:train] 210/566 samples processed elapsed=2.1 min
[calibration:train] 215/566 samples processed elapsed=2.2 min
[calibration:train] 220/566 samples processed elapsed=2.2 min
[calibration:train] 225/566 samples processed elapsed=2.3 min
[calibration:train] 230/566 samples processed elapsed=2.3 min
[calibration:train] 235/566 samples processed elapsed=2.4 min
[calibration:train] 240/566 samples processed elapsed=2.4 min
[calibration:train] 245/566 samples processed elapsed=2.5 min
[calibration:train] 250/566 samples processed elapsed=2.5 min
[calibration:train] 255/566 samples processed elapsed=2.6 min
[calibration:train] 260/566 samples processed elapsed=2.6 min
[calibration:train] 265/566 samples processed elapsed=2.7 min
[calibration:train] 270/566 samples processed elapsed=2.7 min
[calibration:train] 275/566 samples processed elapsed=2.8 min
[calibration:train] 280/566 samples processed elapsed=2.8 min
[calibration:train] 285/566 samples processed elapsed=2.9 min
[calibration:train] 290/566 samples processed elapsed=2.9 min
[calibration:train] 295/566 samples processed elapsed=3.0 min
[calibration:train] 300/566 samples processed elapsed=3.0 min
[calibration:train] 305/566 samples processed elapsed=3.1 min
[calibration:train] 310/566 samples processed elapsed=3.1 min
[calibration:train] 315/566 samples processed elapsed=3.2 min
[calibration:train] 320/566 samples processed elapsed=3.2 min
[calibration:train] 325/566 samples processed elapsed=3.3 min
[calibration:train] 330/566 samples processed elapsed=3.3 min
[calibration:train] 335/566 samples processed elapsed=3.4 min
[calibration:train] 340/566 samples processed elapsed=3.4 min
[calibration:train] 345/566 samples processed elapsed=3.5 min
[calibration:train] 350/566 samples processed elapsed=3.5 min
[calibration:train] 355/566 samples processed elapsed=3.6 min
[calibration:train] 360/566 samples processed elapsed=3.6 min
[calibration:train] 365/566 samples processed elapsed=3.7 min
[calibration:train] 370/566 samples processed elapsed=3.7 min
[calibration:train] 375/566 samples processed elapsed=3.8 min
[calibration:train] 380/566 samples processed elapsed=3.8 min
[calibration:train] 385/566 samples processed elapsed=3.9 min
[calibration:train] 390/566 samples processed elapsed=3.9 min
[calibration:train] 395/566 samples processed elapsed=4.0 min
[calibration:train] 400/566 samples processed elapsed=4.0 min
[calibration:train] 405/566 samples processed elapsed=4.1 min
[calibration:train] 410/566 samples processed elapsed=4.1 min
[calibration:train] 415/566 samples processed elapsed=4.2 min
[calibration:train] 420/566 samples processed elapsed=4.2 min
[calibration:train] 425/566 samples processed elapsed=4.3 min
[calibration:train] 430/566 samples processed elapsed=4.3 min
[calibration:train] 435/566 samples processed elapsed=4.4 min
[calibration:train] 440/566 samples processed elapsed=4.4 min
[calibration:train] 445/566 samples processed elapsed=4.5 min
[calibration:train] 450/566 samples processed elapsed=4.5 min
[calibration:train] 455/566 samples processed elapsed=4.6 min
[calibration:train] 460/566 samples processed elapsed=4.6 min
[calibration:train] 465/566 samples processed elapsed=4.7 min
[calibration:train] 470/566 samples processed elapsed=4.7 min
[calibration:train] 475/566 samples processed elapsed=4.8 min
[calibration:train] 480/566 samples processed elapsed=4.8 min
[calibration:train] 485/566 samples processed elapsed=4.9 min
[calibration:train] 490/566 samples processed elapsed=4.9 min
[calibration:train] 495/566 samples processed elapsed=5.0 min
[calibration:train] 500/566 samples processed elapsed=5.0 min
[calibration:train] 505/566 samples processed elapsed=5.1 min
[calibration:train] 510/566 samples processed elapsed=5.1 min
[calibration:train] 515/566 samples processed elapsed=5.2 min
[calibration:train] 520/566 samples processed elapsed=5.2 min
[calibration:train] 525/566 samples processed elapsed=5.3 min
[calibration:train] 530/566 samples processed elapsed=5.3 min
[calibration:train] 535/566 samples processed elapsed=5.4 min
[calibration:train] 540/566 samples processed elapsed=5.4 min
[calibration:train] 545/566 samples processed elapsed=5.5 min
[calibration:train] 550/566 samples processed elapsed=5.5 min
[calibration:train] 555/566 samples processed elapsed=5.6 min
[calibration:train] 560/566 samples processed elapsed=5.6 min
[calibration:train] 565/566 samples processed elapsed=5.7 min
[calibration:train] 566/566 samples processed elapsed=5.7 min
[calibration:val] 1/243 samples processed elapsed=5.7 min
[calibration:val] 5/243 samples processed elapsed=5.7 min
[calibration:val] 10/243 samples processed elapsed=5.8 min
[calibration:val] 15/243 samples processed elapsed=5.8 min
[calibration:val] 20/243 samples processed elapsed=5.9 min
[calibration:val] 25/243 samples processed elapsed=5.9 min
[calibration:val] 30/243 samples processed elapsed=6.0 min
[calibration:val] 35/243 samples processed elapsed=6.0 min
[calibration:val] 40/243 samples processed elapsed=6.1 min
[calibration:val] 45/243 samples processed elapsed=6.1 min
[calibration:val] 50/243 samples processed elapsed=6.2 min
[calibration:val] 55/243 samples processed elapsed=6.2 min
[calibration:val] 60/243 samples processed elapsed=6.3 min
[calibration:val] 65/243 samples processed elapsed=6.3 min
[calibration:val] 70/243 samples processed elapsed=6.4 min
[calibration:val] 75/243 samples processed elapsed=6.4 min
[calibration:val] 80/243 samples processed elapsed=6.5 min
[calibration:val] 85/243 samples processed elapsed=6.5 min
[calibration:val] 90/243 samples processed elapsed=6.6 min
[calibration:val] 95/243 samples processed elapsed=6.6 min
[calibration:val] 100/243 samples processed elapsed=6.7 min
[calibration:val] 105/243 samples processed elapsed=6.7 min
[calibration:val] 110/243 samples processed elapsed=6.8 min
[calibration:val] 115/243 samples processed elapsed=6.8 min
[calibration:val] 120/243 samples processed elapsed=6.9 min
[calibration:val] 125/243 samples processed elapsed=6.9 min
[calibration:val] 130/243 samples processed elapsed=7.0 min
[calibration:val] 135/243 samples processed elapsed=7.0 min
[calibration:val] 140/243 samples processed elapsed=7.1 min
[calibration:val] 145/243 samples processed elapsed=7.1 min
[calibration:val] 150/243 samples processed elapsed=7.2 min
[calibration:val] 155/243 samples processed elapsed=7.2 min
[calibration:val] 160/243 samples processed elapsed=7.2 min
[calibration:val] 165/243 samples processed elapsed=7.3 min
[calibration:val] 170/243 samples processed elapsed=7.3 min
[calibration:val] 175/243 samples processed elapsed=7.4 min
[calibration:val] 180/243 samples processed elapsed=7.4 min
[calibration:val] 185/243 samples processed elapsed=7.5 min
[calibration:val] 190/243 samples processed elapsed=7.5 min
[calibration:val] 195/243 samples processed elapsed=7.6 min
[calibration:val] 200/243 samples processed elapsed=7.6 min
[calibration:val] 205/243 samples processed elapsed=7.7 min
[calibration:val] 210/243 samples processed elapsed=7.7 min
[calibration:val] 215/243 samples processed elapsed=7.8 min
[calibration:val] 220/243 samples processed elapsed=7.8 min
[calibration:val] 225/243 samples processed elapsed=7.9 min
[calibration:val] 230/243 samples processed elapsed=7.9 min
[calibration:val] 235/243 samples processed elapsed=8.0 min
[calibration:val] 240/243 samples processed elapsed=8.0 min
[calibration:val] 243/243 samples processed elapsed=8.0 min
{
  "overall": {
    "count": 48861408,
    "rmse_db": 23.75106221850964,
    "mae_db": 12.04938729456998
  },
  "LoS": {
    "count": 33048375,
    "rmse_db": 3.3587124137556144,
    "mae_db": 2.540495993060126
  },
  "NLoS": {
    "count": 15813033,
    "rmse_db": 41.466874211293266,
    "mae_db": 31.922450798001115
  }
}
