scope,city_type_6,metric,kind,family,kl,tvd,best,mean,std,skew,excess_kurt
overall,(all),angular_spread,pred_angular_spread,gmm4,0.082000,0.134600,1,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,gmm5,0.082000,0.134600,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,gmm3,0.102300,0.172800,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,gmm2,0.208900,0.252100,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,lognormal,0.728000,0.458000,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,gamma,0.804000,0.481400,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,laplace,0.906700,0.509600,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,skew_normal,0.953400,0.516700,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,weibull,0.978500,0.518700,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,gaussian,0.988000,0.522200,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,pred_angular_spread,spike_plus_exp,1.447200,0.627900,0,6.577,9.801,2.377,6.055
overall,(all),angular_spread,target_angular_spread,spike_plus_exp,0.652300,0.483000,1,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,gmm4,0.792000,0.536600,0,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,gmm5,0.792000,0.536600,0,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,gmm2,0.792000,0.536600,0,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,gmm3,0.792000,0.536600,0,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,weibull,1.005700,0.634500,0,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,lognormal,1.125600,0.676700,0,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,gamma,1.147100,0.665600,0,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,laplace,2.914700,0.867500,0,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,skew_normal,3.021600,0.868400,0,6.564,15.652,2.867,8.931
overall,(all),angular_spread,target_angular_spread,gaussian,3.061000,0.871400,0,6.564,15.652,2.867,8.931
overall,(all),delay_spread,pred_delay_spread,gmm5,0.029900,0.096200,1,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,gmm4,0.033100,0.105100,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,gmm3,0.033100,0.105100,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,gmm2,0.114300,0.159400,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,lognormal,0.192200,0.259900,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,spike_plus_exp,0.198600,0.263600,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,weibull,0.324300,0.340800,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,gamma,0.329100,0.344200,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,laplace,0.714000,0.506100,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,skew_normal,0.810400,0.507800,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,pred_delay_spread,gaussian,0.849600,0.514000,0,8.445,9.471,2.671,7.558
overall,(all),delay_spread,target_delay_spread,gmm5,0.118800,0.166400,1,10.366,27.735,5.47,39.762
