city,sample,expert_id,city_type,height_m,ground_rmse_db,los_rmse_db,nlos_rmse_db,ground_rmse_norm,los_rmse_norm,nlos_rmse_norm,ground_fraction,los_fraction,nlos_fraction
Hyderabad,sample_07008,dense_block_midrise,dense_highrise,47.60654830932617,28.55872929096222,88.36977481842041,21.587453484535217,0.15865960717201233,0.49094319343566895,0.11993029713630676,0.4144325256347656,0.04760633646597509,0.9523936635340249
Alexandria,sample_01426,mixed_compact_midrise,mixed_midrise,44.01139831542969,77.08542108535767,93.71143698692322,34.803303480148315,0.42825233936309814,0.5206190943717957,0.19335168600082397,0.7569618225097656,0.6249061396037957,0.37509386039620424
Alexandria,sample_01503,mixed_compact_lowrise,mixed_midrise,36.16981506347656,86.89274668693542,95.29451966285706,51.478575468063354,0.4827374815940857,0.5294139981269836,0.2859920859336853,0.8234786987304688,0.7619817482744244,0.23801825172557559
Rio de Janeiro,sample_11868,open_sparse_lowrise,open_lowrise,43.964454650878906,94.99546408653259,94.99546408653259,nan,0.5277525782585144,0.5277525782585144,nan,1.0,1.0,0.0
Phuket,sample_11219,open_sparse_vertical,mixed_midrise,43.08085250854492,91.72028303146362,94.71755504608154,61.156286001205444,0.5095571279525757,0.5262086391448975,0.33975714445114136,0.945648193359375,0.893181011391874,0.10681898860812598
Nagpur,sample_10490,mixed_compact_lowrise,mixed_midrise,21.81932258605957,68.82421731948853,93.26923727989197,44.87647354602814,0.38235676288604736,0.5181624293327332,0.24931374192237854,0.7249031066894531,0.4072957285466955,0.5927042714533045
Kuala Lumpur,sample_08360,mixed_compact_midrise,mixed_midrise,30.99463653564453,85.59285163879395,94.03878450393677,60.814974904060364,0.47551584243774414,0.5224376916885376,0.33786097168922424,0.8613319396972656,0.7051104330072234,0.2948895669927766
Rio de Janeiro,sample_12242,mixed_compact_midrise,dense_highrise,37.887943267822266,83.41471552848816,94.07489776611328,21.036411076784134,0.46341508626937866,0.5226383209228516,0.11686895042657852,0.8594779968261719,0.7749559489940392,0.22504405100596075
Santiago,sample_12649,mixed_compact_lowrise,mixed_midrise,38.60884475708008,86.04852139949799,95.030837059021,51.40524387359619,0.47804734110832214,0.5279490947723389,0.2855846881866455,0.7692909240722656,0.7453945900379342,0.2546054099620658
Rio de Janeiro,sample_11623,dense_block_midrise,dense_highrise,43.37983322143555,73.78955483436584,95.05393624305725,57.92315661907196,0.40994197130203247,0.5280774235725403,0.3217953145503998,0.6652717590332031,0.36791343887796235,0.6320865611220376
Ho Chi Minh City,sample_06915,open_sparse_vertical,mixed_midrise,34.476829528808594,87.3382830619812,93.98681402206421,57.09121584892273,0.48521268367767334,0.5221489667892456,0.31717342138290405,0.9106025695800781,0.7837241159738426,0.21627588402615738
Alexandria,sample_01382,mixed_compact_lowrise,mixed_midrise,31.28643226623535,84.92356538772583,94.70110774040222,36.24060273170471,0.4717975854873657,0.5261172652244568,0.20133668184280396,0.7918777465820312,0.7705673793030359,0.22943262069696416
Shanghai,sample_13868,mixed_compact_midrise,mixed_midrise,49.81184768676758,69.70834851264954,93.97803783416748,52.867857813835144,0.387268602848053,0.5221002101898193,0.293710321187973,0.8116912841796875,0.3419400319578908,0.6580599680421092
Victoria,sample_15759,open_sparse_lowrise,open_lowrise,42.01388168334961,88.0838942527771,94.9494481086731,47.845298051834106,0.4893549680709839,0.5274969339370728,0.26580721139907837,0.8808174133300781,0.8131753435455021,0.1868246564544978
Salvador,sample_12421,dense_block_midrise,dense_highrise,38.59758758544922,75.00022888183594,94.62567329406738,43.69088888168335,0.4166679382324219,0.525698184967041,0.2427271604537964,0.6688995361328125,0.5274767890138468,0.47252321098615324
Berlin,sample_03160,mixed_compact_midrise,mixed_midrise,34.83770751953125,72.95574724674225,93.83975386619568,48.00932586193085,0.4053097069263458,0.5213319659233093,0.26671847701072693,0.8104705810546875,0.4641814929869152,0.5358185070130849
